name,videoUrl,imageUrl,instruction,componentIds,categories,prescriptions,patterns,bodyRegions,equipment,loadingSides,locations,liftPriorities,movementDirections,Column1,disabled
90 90 Int. Rot.,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 L1,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 L2,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 L3,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 L4,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 Leg Sweep,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 Side Front Side,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,total,,,,,,,FALSE
90 90 Switch,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,lower,,,,,,,FALSE
90 90 Wheel Elbow,https://iamaspire.aspire.qa/ExerciseVideo/,,,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-bil,,total,,,,,,,FALSE
90-90 Hip Switch to Hip Extension,https://iamaspire.aspire.qa/ExerciseVideo/90-90 Hip Switch to Hip Extension.mp4,https://iamaspire.aspire.qa/ExerciseVideo/ExerciseThumbNailImage/11-Jun-2024_7f3d41af-b658-4ec9-8785-08894c31e46b.png,Sit on the floor.Place your hands over your chest.Put your legs 90 degrees angles.Rotate back over the rear leg.Bring chest towards knee.Keep back straight and hinge from the hips.Switch and do dinamyc to the other side.,rom:flexibility:passive-stretching,strength:corrective:spine,ext-load-uni,,,bodyweight:pull-up-bar,,"gym,pitch,mobile",,,,FALSE
